"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Failures","100","0","0","0","0"
"Faulty test cases failures","68","0","0","0","0"
"Conformance errors","68","0","0","0","0"
"Faulty test case failed (inter_parameter_dependency)","68","0","0","0","0"
"Status 5XX","32","0","0","0","0"
