"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Faulty test cases failures","571","0","0","0","0"
"Conformance errors","571","0","0","0","0"
"Failures","571","0","0","0","0"
"Faulty test case failed (individual_parameter_constraint)","411","0","0","0","0"
"Faulty test case failed (inter_parameter_dependency)","160","0","0","0","0"
