"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Failures","71","0","0","0","0"
"Validation failures","42","0","0","0","0"
"Status 5XX","28","0","0","0","0"
"Valid test cases failures","1","0","0","0","0"
"Conformance errors","1","0","0","0","0"
