"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Faulty test cases failures","8","0","0","0","0"
"Conformance errors","8","0","0","0","0"
"Failures","8","0","0","0","0"
"Faulty test case failed (inter_parameter_dependency)","8","0","0","0","0"
