"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Failures","513","0","0","0","0"
"Valid test cases failures","508","0","0","0","0"
"Conformance errors","508","0","0","0","0"
"Validation failures","5","0","0","0","0"
