"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Failures","632","0","0","0","0"
"Validation failures","505","0","0","0","0"
"Faulty test cases failures","127","0","0","0","0"
"Conformance errors","127","0","0","0","0"
"Faulty test case failed (individual_parameter_constraint)","127","0","0","0","0"
