"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Failures","727","0","0","0","0"
"Faulty test cases failures","489","0","0","0","0"
"Conformance errors","489","0","0","0","0"
"Faulty test case failed (inter_parameter_dependency)","424","0","0","0","0"
"Validation failures","237","0","0","0","0"
"Faulty test case failed (individual_parameter_constraint)","65","0","0","0","0"
"Status 5XX","1","0","0","0","0"
