"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Faulty test cases failures","487","0","0","0","0"
"Conformance errors","487","0","0","0","0"
"Faulty test case failed (individual_parameter_constraint)","487","0","0","0","0"
"Failures","487","0","0","0","0"
