"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Failures","737","0","0","0","0"
"Validation failures","673","0","0","0","0"
"Valid test cases failures","64","0","0","0","0"
"Conformance errors","64","0","0","0","0"
