"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Faulty test cases failures","806","0","0","0","0"
"Conformance errors","806","0","0","0","0"
"Faulty test case failed (individual_parameter_constraint)","806","0","0","0","0"
"Failures","806","0","0","0","0"
