"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Valid test cases failures","535","0","0","0","0"
"Conformance errors","535","0","0","0","0"
"Failures","535","0","0","0","0"
"Broken tests","0","1","0","0","0"
