"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Faulty test cases failures","2","0","0","0","0"
"Conformance errors","2","0","0","0","0"
"Faulty test case failed (individual_parameter_constraint)","2","0","0","0","0"
"Failures","2","0","0","0","0"
