"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Failures","2","0","0","0","0"
"Valid test cases failures","1","0","0","0","0"
"Conformance errors","1","0","0","0","0"
"Validation failures","1","0","0","0","0"
