"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Faulty test cases failures","236","0","0","0","0"
"Conformance errors","236","0","0","0","0"
"Faulty test case failed (individual_parameter_constraint)","236","0","0","0","0"
"Failures","236","0","0","0","0"
