"Category","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Faulty test cases failures","116","0","0","0","0"
"Conformance errors","116","0","0","0","0"
"Failures","116","0","0","0","0"
"Faulty test case failed (inter_parameter_dependency)","114","0","0","0","0"
"Faulty test case failed (individual_parameter_constraint)","2","0","0","0","0"
